2022-07-17 14:51:28,045 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.ulauncher.ulauncher-emoji"
2022-07-17 14:51:28,071 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.pywkm.ulauncher-spotify" connected
2022-07-17 14:51:28,072 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.pywkm.ulauncher-spotify"
2022-07-17 14:51:28,103 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.ikorjefocur.ulauncher-commandrunner" connected
2022-07-17 14:51:28,103 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.ikorjefocur.ulauncher-commandrunner"
2022-07-17 14:51:28,115 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.iboyperson.ulauncher-system" connected
2022-07-17 14:51:28,116 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.iboyperson.ulauncher-system"
2022-07-17 14:51:28,126 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.fajtak.ulauncher-weather" connected
2022-07-17 14:51:28,126 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.fajtak.ulauncher-weather"
2022-07-17 14:51:28,222 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.noam09.ulauncher-units" connected
2022-07-17 14:51:28,222 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.noam09.ulauncher-units"
2022-07-17 14:52:06,775 | DEBUG | ulauncher.utils.display: get_screens() | Found 3 monitor(s)
2022-07-17 14:52:06,775 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 1920, Y: 0, W: 2560, H: 1440
2022-07-17 14:52:06,775 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 1 - X: 4480, Y: 0, W: 2560, H: 1440
2022-07-17 14:52:06,775 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 2 - X: 0, Y: 0, W: 1920, H: 1080
2022-07-17 14:52:06,775 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-07-17 14:52:07,510 | INFO | ulauncher.utils.image_loader: get_app_icon_pixbuf() | Could not load icon for picom. E: gtk-icon-theme-error-quark: Icon 'picom' not present in theme Adwaita (0)
2022-07-17 14:52:07,513 | INFO | ulauncher.utils.image_loader: get_app_icon_pixbuf() | Could not load icon for network-wired. E: gtk-icon-theme-error-quark: Icon 'network-wired' not present in theme Adwaita (0)
2022-07-17 14:52:07,514 | INFO | ulauncher.utils.image_loader: get_app_icon_pixbuf() | Could not load icon for java18-openjdk. E: gtk-icon-theme-error-quark: Icon 'java18-openjdk' not present in theme Adwaita (0)
